Symbol,Company,Sector,No Years,DGR 1Y,DGR 3Y,DGR 5Y,DGR 10Y
CSX,CSX Corporation,Industrials,20,9.1,8.75,8.45,8.62
R,"Ryder System, Inc.",Industrials,20,14.29,10.07,6.69,7.91
HWKN,"Hawkins, Inc.",Materials,20,9.68,10.43,8.14,6.28
WLK,Westlake Chemical Corporation,Materials,20,19.61,21.79,14.87,13.42
AIZ,"Assurant, Inc.",Financials,20,4.97,3.63,4.03,10.82
HEI,HEICO Corporation,Industrials,20,5.01,7.3,8.45,12.18
AFG,"American Financial Group, Inc.",Financials,20,12.7,12.47,12.18,12.41
RHI,Robert Half International Inc.,Industrials,20,10.42,11.73,11.33,11.41
JJSF,J & J Snack Foods Corp.,Consumer Staples,20,5.58,7.0,7.87,8.67
COR,"Cencora, Inc.",Health Care,20,5.86,5.33,5.39,7.66
ELS,"Equity LifeStyle Properties, Inc.",Real Estate,20,6.71,9.62,9.29,11.39
GL,Globe Life Inc.,Financials,20,7.09,6.61,6.89,6.44
COST,Costco Wholesale Corporation,Consumer Staples,20,13.64,13.6,12.3,12.59
BOKF,BOK Financial Corporation,Financials,19,2.31,2.04,2.01,3.21
OGE,OGE Energy Corp.,Utilities,19,0.93,1.19,2.49,6.13
STE,STERIS plc,Health Care,19,10.11,9.51,8.96,9.5
CMI,Cummins Inc.,Industrials,19,7.7,7.73,7.39,9.56
AMP,"Ameriprise Financial, Inc.",Financials,19,9.25,9.34,8.74,9.87
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,19,23.86,21.22,18.18,12.74
BMY,Bristol-Myers Squibb Company,Health Care,18,5.27,17.76,7.92,5.17
GRC,The Gorman-Rupp Company,Industrials,18,2.84,4.52,5.69,6.96
EVR,Evercore Inc.,Financials,18,5.34,6.05,7.13,11.87
KWR,Quaker Chemical Corporation,Materials,18,5.12,4.96,4.15,5.34
CMS,CMS Energy Corporation,Utilities,18,5.65,5.79,6.13,6.68
KR,The Kroger Co.,Consumer Staples,18,10.91,16.08,15.26,13.63
UNP,Union Pacific Corporation,Industrials,18,1.54,7.17,7.38,10.71
POR,Portland General Electric Company,Utilities,18,5.2,5.18,5.42,5.89
CMCSA,Comcast Corporation,Communication Services,17,7.02,7.58,14.14,13.72
HUBB,Hubbell Incorporated,Industrials,17,8.74,7.67,7.75,9.23
THO,"Thor Industries, Inc.",Consumer Discretionary,17,-21.51,-4.58,-1.57,3.86
AWK,"American Water Works Company, Inc.",Utilities,17,8.11,8.4,8.97,9.52
UNM,Unum Group,Financials,17,12.95,10.3,7.58,9.74
MCK,McKesson Corporation,Health Care,17,14.66,14.33,10.71,10.73
ENSG,"The Ensign Group, Inc.",Health Care,17,4.31,4.51,4.73,5.47
BIP,Brookfield Infrastructure Partners L.P.,Utilities,17,5.79,6.0,6.08,7.75
FNV,Franco-Nevada Corporation,Materials,17,32.71,15.79,12.72,8.73
BR,"Broadridge Financial Solutions, Inc.",Information Technology,17,10.17,11.41,10.39,13.35
V,Visa Inc.,Information Technology,16,14.98,17.22,15.42,17.74
IEX,IDEX Corporation,Industrials,16,7.54,8.53,7.03,9.74
WDFC,WD-40 Company,Consumer Staples,16,6.03,7.55,7.61,7.3
CHE,Chemed Corporation,Health Care,16,15.39,8.74,7.74,7.92
HI,"Hillenbrand, Inc.",Industrials,16,1.14,1.15,1.16,1.2
